title,car_model_name,car_color,car_mileage,location,date,price,image
مرسيدس C 200 AMG 2023,C 200 AMG,أسود,"9,000 كم",مصر الجديدة,2024-05-20,"3,750,000 جنيه",https://media.hatla2eestatic.com/uploads/car/2024/05/16/6470412/medium_up_32827d793ec12f9683871a8a89c57d02.jpg
مرسيدس C 180 2022,C 180,أسود,- كم,6 أكتوبر,2024-05-20,"3,200,000 جنيه",https://media.hatla2eestatic.com/uploads/car/2024/05/15/6468105/medium_up_b5918bb01f8dca2486235cb72885c12c.jpg
مرسيدس C 180 2019,C 180,فضي,"103,000 كم",التجمع - القاهرة الجديدة,2024-05-20,"2,500,000 جنيه",https://media.hatla2eestatic.com/uploads/car/2023/05/05/5665402/medium_up_63734f4b875fbacd6358e2acde498eba.jpg
مرسيدس 230 2008,230,فضي,"300,000 كم",القاهرة,2024-05-20,"1,150,000 جنيه",https://media.hatla2eestatic.com/uploads/car/2024/05/19/6476812/medium_up_ea005157c3dc195e9edc18942954f773.jpg
مرسيدس C 180 2012,C 180,أسود,"120,000 كم",القاهرة,2024-05-20,"1,450,000 جنيه",https://media.hatla2eestatic.com/uploads/car/2024/05/19/6476827/medium_up_b8aa72e32caf6e318a730f0119c5c31f.jpg
مرسيدس E 200 2023,E 200,أسود,- كم,التجمع - القاهرة الجديدة,2024-05-20,"5,200,000 جنيه",https://media.hatla2eestatic.com/uploads/car/2024/03/12/6340519/medium_up_e3636eca8c92f8b669c630f836ffc590.jpg
مرسيدس 350 2023,350,أسود,- كم,التجمع - القاهرة الجديدة,2024-05-20,"4,650,000 جنيه",https://media.hatla2eestatic.com/uploads/car/2024/03/12/6340577/medium_up_d5b8713f438d12b80eb237af56eab995.jpg
مرسيدس GLA 2024,GLA,أبيض,10 كم,التجمع - القاهرة الجديدة,2024-05-20,"3,375,000 جنيه",https://media.hatla2eestatic.com/uploads/car/2024/03/12/6341012/medium_up_96c3dd528107a18a42df6357481eba60.jpg
مرسيدس A 200 2023,A 200,فضي,- كم,التجمع - القاهرة الجديدة,2024-05-20,"2,675,000 جنيه",https://media.hatla2eestatic.com/uploads/car/2024/03/22/6360634/medium_up_5a91bb3c14a24c5ea2b13b0c7adcc50d.jpg
مرسيدس GLC 200 AMG مستوردة 2024,GLC 200 AMG مستوردة,أبيض,10 كم,التجمع - القاهرة الجديدة,2024-05-20,"5,425,000 جنيه",https://media.hatla2eestatic.com/uploads/car/2024/03/26/6369712/medium_up_5bca59e517113077b4e86bad690dc9e2.jpg
